dataset,algorithm,rfm_segment,ndcg,recall,n_users
Google Local South Carolina,TruncatedSVD,At Risk,0.017855056976030625,0.02619047619047619,15
Google Local South Carolina,TruncatedSVD,Champions,0.12588232266222343,0.09344632313076848,536
Google Local South Carolina,TruncatedSVD,Loyal,0.10732023438751717,0.08943724477567556,630
Google Local South Carolina,TruncatedSVD,Potential,0.10425755535888705,0.08375167652335933,319
MovieLens 20M,EASE,At Risk,0.11489036150589164,0.032662524257351847,7
MovieLens 20M,EASE,Champions,0.2091761949854111,0.037107506120833925,474
MovieLens 20M,EASE,Loyal,0.2008833793480496,0.03839153356934164,776
MovieLens 20M,EASE,Potential,0.18967126239985138,0.041072257155827754,243
MovieLens 20M,HybridFeatureRerank,At Risk,0.1279945955398855,0.032662524257351847,7
MovieLens 20M,HybridFeatureRerank,Champions,0.2076452908815121,0.038300040086909855,474
MovieLens 20M,HybridFeatureRerank,Loyal,0.196979624809703,0.03808728490932537,776
MovieLens 20M,HybridFeatureRerank,Potential,0.18248380320155044,0.04029474273180568,243
MovieLens 20M,Hybrid_NoCollaborativeAblation,At Risk,0.010480560299908579,0.004464285714285714,7
MovieLens 20M,Hybrid_NoCollaborativeAblation,Champions,0.07038704514172732,0.01288522691289489,474
MovieLens 20M,Hybrid_NoCollaborativeAblation,Loyal,0.05487028607425168,0.010214140449758788,776
MovieLens 20M,Hybrid_NoCollaborativeAblation,Potential,0.041821644000971124,0.009836405448824411,243
MovieLens 20M,Hybrid_NoContentAblation,At Risk,0.1151918268211491,0.027736415882967606,7
MovieLens 20M,Hybrid_NoContentAblation,Champions,0.20726535565969068,0.037573897613405335,474
MovieLens 20M,Hybrid_NoContentAblation,Loyal,0.1996279542537075,0.03843242370697726,776
MovieLens 20M,Hybrid_NoContentAblation,Potential,0.18958624854944475,0.041900713256693665,243
MovieLens 20M,Popularity,At Risk,0.043297432882840374,0.014181221077772801,7
MovieLens 20M,Popularity,Champions,0.142664376394768,0.026091768425185895,474
