dataset,algorithm,topk,mode,ndcg,recall,precision,map,coverage,novelty,train_seconds,inference_ms_per_user,run_status,note
Google Local South Carolina,Popularity,5,exc,0.02,0.0079,0.0179,0.0099,0.0031,0.136,0.001,0.167,done,
Google Local South Carolina,Popularity,10,exc,0.0197,0.0152,0.0172,0.0067,0.005,0.1969,0.001,0.167,done,
Google Local South Carolina,Popularity,20,exc,0.0236,0.0257,0.0147,0.0065,0.0097,0.256,0.001,0.167,done,
Google Local South Carolina,Popularity,5,inc,0.0188,0.0074,0.0165,0.0094,0.0016,0.1278,0.001,0.167,done,
Google Local South Carolina,Popularity,10,inc,0.0189,0.0147,0.0165,0.0064,0.0031,0.1861,0.001,0.167,done,
Google Local South Carolina,Popularity,20,inc,0.0225,0.0247,0.014,0.0062,0.0063,0.2496,0.001,0.167,done,
Google Local South Carolina,TruncatedSVD,5,exc,0.1188,0.0505,0.1125,0.0655,0.2238,0.5177,0.31,0.218,done,
Google Local South Carolina,TruncatedSVD,10,exc,0.1124,0.089,0.0999,0.0463,0.3441,0.554,0.31,0.218,done,
Google Local South Carolina,TruncatedSVD,20,exc,0.1352,0.1503,0.0847,0.0489,0.5156,0.5962,0.31,0.218,done,
Google Local South Carolina,TruncatedSVD,5,inc,0.0374,0.0206,0.0412,0.0172,0.1272,0.4276,0.31,0.218,done,
Google Local South Carolina,TruncatedSVD,10,inc,0.0438,0.0439,0.0449,0.0143,0.2059,0.4855,0.31,0.218,done,
Google Local South Carolina,TruncatedSVD,20,inc,0.0677,0.0917,0.048,0.0185,0.3566,0.5455,0.31,0.218,done,
Google Local South Carolina,EASE,5,exc,0.1215,0.0516,0.1152,0.0663,0.2241,0.4451,4.377,10.716,done,
Google Local South Carolina,EASE,10,exc,0.1153,0.0915,0.1026,0.0471,0.3706,0.498,4.377,10.716,done,
Google Local South Carolina,EASE,20,exc,0.1397,0.1558,0.0876,0.0502,0.5628,0.5493,4.377,10.716,done,
Google Local South Carolina,EASE,5,inc,0.031,0.0143,0.0279,0.0156,0.2825,0.4553,4.377,10.716,done,
Google Local South Carolina,EASE,10,inc,0.0311,0.0274,0.0268,0.011,0.515,0.5207,4.377,10.716,done,
Google Local South Carolina,EASE,20,inc,0.0455,0.0572,0.0285,0.0129,0.8153,0.5845,4.377,10.716,done,
Google Local South Carolina,TFIDF_Content,5,exc,0.0095,0.0042,0.0095,0.0045,0.3594,0.6995,0.365,5.346,done,
Google Local South Carolina,TFIDF_Content,10,exc,0.0091,0.0074,0.0085,0.003,0.4547,0.7054,0.365,5.346,done,
Google Local South Carolina,TFIDF_Content,20,exc,0.0118,0.0137,0.0078,0.003,0.5038,0.7157,0.365,5.346,done,
Google Local South Carolina,TFIDF_Content,5,inc,0.0074,0.0034,0.0076,0.0034,0.4031,0.6956,0.365,5.346,done,
Google Local South Carolina,TFIDF_Content,10,inc,0.0076,0.0066,0.0075,0.0024,0.5094,0.7009,0.365,5.346,done,
Google Local South Carolina,TFIDF_Content,20,inc,0.01,0.012,0.0069,0.0025,0.5941,0.7116,0.365,5.346,done,
Google Local South Carolina,SequentialTransition,5,exc,0.067,0.0272,0.0599,0.0351,0.4178,0.3976,3.166,0.27,done,
Google Local South Carolina,SequentialTransition,10,exc,0.0618,0.0474,0.0521,0.0234,0.6338,0.4462,3.166,0.27,done,
Google Local South Carolina,SequentialTransition,20,exc,0.0718,0.0758,0.0422,0.0231,0.8728,0.4941,3.166,0.27,done,
Google Local South Carolina,SequentialTransition,5,inc,0.0527,0.0227,0.0497,0.0262,0.3862,0.3835,3.166,0.27,done,
Google Local South Carolina,SequentialTransition,10,inc,0.0495,0.0401,0.0435,0.0177,0.5966,0.4336,3.166,0.27,done,
Google Local South Carolina,SequentialTransition,20,inc,0.0606,0.0678,0.0374,0.0181,0.8478,0.4867,3.166,0.27,done,
Google Local South Carolina,HybridFeatureRerank,5,exc,0.1317,0.0566,0.1256,0.0731,0.2519,0.5045,0.0,63.124,done,
Google Local South Carolina,HybridFeatureRerank,10,exc,0.1217,0.0958,0.107,0.0509,0.3931,0.5465,0.0,63.124,done,
Google Local South Carolina,HybridFeatureRerank,20,exc,0.1465,0.1617,0.0909,0.054,0.5806,0.5916,0.0,63.124,done,
Google Local South Carolina,HybridFeatureRerank,5,inc,0.0235,0.0126,0.0249,0.0108,0.3016,0.4886,0.0,63.124,done,
Google Local South Carolina,HybridFeatureRerank,10,inc,0.0252,0.0244,0.0244,0.0081,0.5419,0.5513,0.0,63.124,done,
Google Local South Carolina,HybridFeatureRerank,20,inc,0.0416,0.0569,0.0289,0.0105,0.8087,0.6095,0.0,63.124,done,
Google Local South Carolina,Hybrid_NoContentAblation,5,exc,0.128,0.0545,0.1216,0.0708,0.2219,0.475,0.0,62.655,ablation,
Google Local South Carolina,Hybrid_NoContentAblation,10,exc,0.1204,0.0951,0.1069,0.05,0.3563,0.5181,0.0,62.655,ablation,
Google Local South Carolina,Hybrid_NoContentAblation,20,exc,0.1442,0.1594,0.0895,0.0528,0.54,0.5668,0.0,62.655,ablation,
Google Local South Carolina,Hybrid_NoContentAblation,5,inc,0.0301,0.0157,0.0307,0.0143,0.2162,0.4444,0.0,62.655,ablation,
Google Local South Carolina,Hybrid_NoContentAblation,10,inc,0.0337,0.0332,0.0325,0.0111,0.405,0.5048,0.0,62.655,ablation,
Google Local South Carolina,Hybrid_NoContentAblation,20,inc,0.0518,0.0689,0.0349,0.014,0.7025,0.5685,0.0,62.655,ablation,
Google Local South Carolina,Hybrid_NoCollaborativeAblation,5,exc,0.0083,0.0038,0.0087,0.0038,0.2341,0.7866,0.0,53.908,ablation,
Google Local South Carolina,Hybrid_NoCollaborativeAblation,10,exc,0.0088,0.0074,0.0088,0.0027,0.3638,0.7675,0.0,53.908,ablation,
Google Local South Carolina,Hybrid_NoCollaborativeAblation,20,exc,0.0118,0.0148,0.0086,0.0028,0.4891,0.7538,0.0,53.908,ablation,
Google Local South Carolina,Hybrid_NoCollaborativeAblation,5,inc,0.0058,0.003,0.0068,0.0024,0.2772,0.7837,0.0,53.908,ablation,
Google Local South Carolina,Hybrid_NoCollaborativeAblation,10,inc,0.0064,0.0059,0.0067,0.0018,0.4328,0.7644,0.0,53.908,ablation,
Google Local South Carolina,Hybrid_NoCollaborativeAblation,20,inc,0.0091,0.0119,0.0068,0.002,0.6044,0.7521,0.0,53.908,ablation,
Goodreads Fantasy 10K,Popularity,5,exc,0.0723,0.0803,0.0444,0.0481,0.0427,0.1561,0.001,0.122,done,
Goodreads Fantasy 10K,Popularity,10,exc,0.0911,0.1264,0.0384,0.053,0.0747,0.1956,0.001,0.122,done,
Goodreads Fantasy 10K,Popularity,20,exc,0.1067,0.1717,0.0273,0.0561,0.1174,0.2675,0.001,0.122,done,
Goodreads Fantasy 10K,Popularity,5,inc,0.066,0.0741,0.0384,0.0457,0.0178,0.1392,0.001,0.122,done,
Goodreads Fantasy 10K,Popularity,10,inc,0.081,0.1119,0.0313,0.049,0.0356,0.1951,0.001,0.122,done,
Goodreads Fantasy 10K,Popularity,20,inc,0.0962,0.1515,0.0237,0.0526,0.0712,0.2603,0.001,0.122,done,
Goodreads Fantasy 10K,TruncatedSVD,5,exc,0.0485,0.0648,0.0283,0.032,0.6797,0.5989,0.037,0.136,done,
Goodreads Fantasy 10K,TruncatedSVD,10,exc,0.0717,0.1207,0.0283,0.04,0.8256,0.5941,0.037,0.136,done,
Goodreads Fantasy 10K,TruncatedSVD,20,exc,0.098,0.1973,0.0247,0.0475,0.9253,0.5849,0.037,0.136,done,
Goodreads Fantasy 10K,TruncatedSVD,5,inc,0.0051,0.0101,0.004,0.0023,0.6406,0.4925,0.037,0.136,done,
Goodreads Fantasy 10K,TruncatedSVD,10,inc,0.0241,0.0598,0.0121,0.0094,0.8221,0.5212,0.037,0.136,done,
Goodreads Fantasy 10K,TruncatedSVD,20,inc,0.0564,0.1608,0.0177,0.0178,0.9609,0.5486,0.037,0.136,done,
Goodreads Fantasy 10K,EASE,5,exc,0.0848,0.1117,0.0646,0.0508,0.4947,0.3985,0.35,0.261,done,
Goodreads Fantasy 10K,EASE,10,exc,0.1186,0.1937,0.0586,0.0633,0.7367,0.4305,0.35,0.261,done,
Goodreads Fantasy 10K,EASE,20,exc,0.1569,0.3004,0.047,0.0753,0.8683,0.4604,0.35,0.261,done,
Goodreads Fantasy 10K,EASE,5,inc,0.0205,0.0253,0.0101,0.0151,0.6299,0.4456,0.35,0.261,done,
Goodreads Fantasy 10K,EASE,10,inc,0.0431,0.0816,0.0162,0.0243,0.8683,0.461,0.35,0.261,done,
Goodreads Fantasy 10K,EASE,20,inc,0.0876,0.2136,0.0258,0.0356,0.9644,0.4764,0.35,0.261,done,
Goodreads Fantasy 10K,TFIDF_Content,5,exc,0.1323,0.1594,0.0788,0.0855,0.4733,0.5707,0.457,2.026,done,
Goodreads Fantasy 10K,TFIDF_Content,10,exc,0.1613,0.2278,0.0646,0.0969,0.5801,0.5752,0.457,2.026,done,
Goodreads Fantasy 10K,TFIDF_Content,20,exc,0.187,0.2957,0.046,0.1045,0.6762,0.575,0.457,2.026,done,
Goodreads Fantasy 10K,TFIDF_Content,5,inc,0.0158,0.0337,0.0121,0.0072,0.7331,0.5128,0.457,2.026,done,
Goodreads Fantasy 10K,TFIDF_Content,10,inc,0.055,0.1316,0.0263,0.0218,0.9217,0.5254,0.457,2.026,done,
Goodreads Fantasy 10K,TFIDF_Content,20,inc,0.0878,0.2259,0.0268,0.031,0.9893,0.5465,0.457,2.026,done,
Goodreads Fantasy 10K,SequentialTransition,5,exc,0.0976,0.1068,0.0687,0.0622,0.6833,0.48,0.044,0.149,done,
Goodreads Fantasy 10K,SequentialTransition,10,exc,0.1213,0.1681,0.0545,0.0692,0.8256,0.4609,0.044,0.149,done,
Goodreads Fantasy 10K,SequentialTransition,20,exc,0.158,0.2757,0.0434,0.08,0.9324,0.4391,0.044,0.149,done,
Goodreads Fantasy 10K,SequentialTransition,5,inc,0.0657,0.0697,0.0465,0.0414,0.6833,0.4831,0.044,0.149,done,
Goodreads Fantasy 10K,SequentialTransition,10,inc,0.0907,0.1349,0.0404,0.0498,0.8754,0.481,0.044,0.149,done,
Goodreads Fantasy 10K,SequentialTransition,20,inc,0.1286,0.2444,0.0374,0.0604,0.9466,0.456,0.044,0.149,done,
Goodreads Fantasy 10K,HybridFeatureRerank,5,exc,0.1318,0.1693,0.0909,0.0825,0.5836,0.49,0.0,31.675,done,
Goodreads Fantasy 10K,HybridFeatureRerank,10,exc,0.1685,0.2573,0.0758,0.0969,0.7616,0.5008,0.0,31.675,done,
Goodreads Fantasy 10K,HybridFeatureRerank,20,exc,0.1997,0.3429,0.0535,0.1072,0.8932,0.5142,0.0,31.675,done,
Goodreads Fantasy 10K,HybridFeatureRerank,5,inc,0.0162,0.0354,0.0121,0.0073,0.7189,0.4889,0.0,31.675,done,
Goodreads Fantasy 10K,HybridFeatureRerank,10,inc,0.0454,0.1077,0.0212,0.0198,0.9075,0.4942,0.0,31.675,done,
Goodreads Fantasy 10K,HybridFeatureRerank,20,inc,0.0962,0.2559,0.0323,0.0331,0.9822,0.5051,0.0,31.675,done,
Goodreads Fantasy 10K,Hybrid_NoContentAblation,5,exc,0.0809,0.0952,0.0566,0.0518,0.6335,0.4442,0.0,37.235,ablation,
Goodreads Fantasy 10K,Hybrid_NoContentAblation,10,exc,0.1071,0.1623,0.0485,0.0599,0.8221,0.4769,0.0,37.235,ablation,
Goodreads Fantasy 10K,Hybrid_NoContentAblation,20,exc,0.1426,0.2635,0.0409,0.0717,0.9324,0.5009,0.0,37.235,ablation,
Goodreads Fantasy 10K,Hybrid_NoContentAblation,5,inc,0.0106,0.0202,0.0081,0.005,0.6762,0.4683,0.0,37.235,ablation,
Goodreads Fantasy 10K,Hybrid_NoContentAblation,10,inc,0.0334,0.0791,0.0152,0.0149,0.8932,0.4762,0.0,37.235,ablation,
Goodreads Fantasy 10K,Hybrid_NoContentAblation,20,inc,0.0764,0.2072,0.0258,0.0253,0.9858,0.4908,0.0,37.235,ablation,
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,5,exc,0.1552,0.1846,0.097,0.1053,0.4875,0.5583,0.0,43.232,ablation,
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,10,exc,0.1773,0.2397,0.0697,0.1121,0.5943,0.5662,0.0,43.232,ablation,
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,20,exc,0.196,0.2905,0.0444,0.1183,0.6726,0.5808,0.0,43.232,ablation,
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,5,inc,0.0182,0.0387,0.0141,0.0082,0.7438,0.5189,0.0,43.232,ablation,
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,10,inc,0.0522,0.1232,0.0242,0.0222,0.9253,0.5307,0.0,43.232,ablation,
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,20,inc,0.0908,0.2313,0.0288,0.0325,0.9858,0.5551,0.0,43.232,ablation,
MovieLens 20M,NCF,10,exc,,,,,,,,,planned,phase-2 backlog
Google Local South Carolina,NCF,10,exc,,,,,,,,,not_applicable,outside phase-1 scope
Goodreads Fantasy 10K,NCF,10,exc,,,,,,,,,planned,phase-2 backlog
MovieLens 20M,SASRec,10,exc,,,,,,,,,planned,phase-2 backlog
Google Local South Carolina,SASRec,10,exc,,,,,,,,,planned,phase-2 backlog
Goodreads Fantasy 10K,SASRec,10,exc,,,,,,,,,planned,phase-2 backlog
MovieLens 20M,GRU4Rec,10,exc,,,,,,,,,not_applicable,outside phase-1 scope
Google Local South Carolina,GRU4Rec,10,exc,,,,,,,,,planned,phase-2 backlog
Goodreads Fantasy 10K,GRU4Rec,10,exc,,,,,,,,,planned,phase-2 backlog
MovieLens 20M,RBM,10,exc,,,,,,,,,draft,outside phase-1 scope
Google Local South Carolina,RBM,10,exc,,,,,,,,,not_applicable,outside phase-1 scope
Goodreads Fantasy 10K,RBM,10,exc,,,,,,,,,not_applicable,outside phase-1 scope
