dataset,algorithm,topk,ndcg_exc,ndcg_inc,recall_exc,recall_inc,precision_exc,precision_inc,map_exc,map_inc,ndcg_gap,recall_gap,precision_gap,map_gap
Google Local South Carolina,Hybrid_NoContentAblation,20,0.1442,0.0518,0.1594,0.0689,0.0895,0.0349,0.0528,0.014,-0.0924,-0.0905,-0.0546,-0.0388
Google Local South Carolina,Popularity,5,0.02,0.0188,0.0079,0.0074,0.0179,0.0165,0.0099,0.0094,-0.0012,-0.0005,-0.0014,-0.0005
Google Local South Carolina,Popularity,10,0.0197,0.0189,0.0152,0.0147,0.0172,0.0165,0.0067,0.0064,-0.0008,-0.0005,-0.0007,-0.0003
Google Local South Carolina,Popularity,20,0.0236,0.0225,0.0257,0.0247,0.0147,0.014,0.0065,0.0062,-0.0011,-0.001,-0.0007,-0.0003
Google Local South Carolina,SequentialTransition,5,0.067,0.0527,0.0272,0.0227,0.0599,0.0497,0.0351,0.0262,-0.0143,-0.0045,-0.0102,-0.0089
Google Local South Carolina,SequentialTransition,10,0.0618,0.0495,0.0474,0.0401,0.0521,0.0435,0.0234,0.0177,-0.0123,-0.0073,-0.0086,-0.0057
Google Local South Carolina,SequentialTransition,20,0.0718,0.0606,0.0758,0.0678,0.0422,0.0374,0.0231,0.0181,-0.0112,-0.008,-0.0048,-0.005
Google Local South Carolina,TFIDF_Content,5,0.0095,0.0074,0.0042,0.0034,0.0095,0.0076,0.0045,0.0034,-0.0021,-0.0008,-0.0019,-0.0011
Google Local South Carolina,TFIDF_Content,10,0.0091,0.0076,0.0074,0.0066,0.0085,0.0075,0.003,0.0024,-0.0015,-0.0008,-0.001,-0.0006
Google Local South Carolina,TFIDF_Content,20,0.0118,0.01,0.0137,0.012,0.0078,0.0069,0.003,0.0025,-0.0018,-0.0017,-0.0009,-0.0005
Google Local South Carolina,TruncatedSVD,5,0.1188,0.0374,0.0505,0.0206,0.1125,0.0412,0.0655,0.0172,-0.0814,-0.0299,-0.0713,-0.0483
Google Local South Carolina,TruncatedSVD,10,0.1124,0.0438,0.089,0.0439,0.0999,0.0449,0.0463,0.0143,-0.0686,-0.0451,-0.055,-0.032
Google Local South Carolina,TruncatedSVD,20,0.1352,0.0677,0.1503,0.0917,0.0847,0.048,0.0489,0.0185,-0.0675,-0.0586,-0.0367,-0.0304
MovieLens 20M,EASE,5,0.2182,0.0054,0.021,0.0008,0.2093,0.0056,0.1382,0.0025,-0.2128,-0.0202,-0.2037,-0.1357
MovieLens 20M,EASE,10,0.2013,0.0069,0.0384,0.002,0.1897,0.0077,0.1016,0.0019,-0.1944,-0.0364,-0.182,-0.0997
MovieLens 20M,EASE,20,0.1845,0.0098,0.0697,0.006,0.1716,0.0115,0.0735,0.0017,-0.1747,-0.0637,-0.1601,-0.0718
